embedding_type,n_samples,bootstrap_iters,tau,tau_ci_lower,tau_ci_upper,spectral_gap,spectral_gap_ci_lower,spectral_gap_ci_upper,neighborhood_purity,neighborhood_purity_ci_lower,neighborhood_purity_ci_upper,silhouette,silhouette_ci_lower,silhouette_ci_upper,trustworthiness,trustworthiness_ci_lower,trustworthiness_ci_upper,id_raw,id_raw_ci_lower,id_raw_ci_upper,id_diff,id_diff_ci_lower,id_diff_ci_upper,progression,model
register_mean_0.125,4000,0,0.15660332049586598,,,0.021044612,,,0.32738425324877435,,,,,,0.9864517570281125,,,,,,,,,CRC-Conventional,uni2
register_mean_0.375,4000,0,0.36288431547352323,,,0.029346347,,,0.4426983756903312,,,,,,0.9804480421686746,,,,,,,,,CRC-Conventional,uni2
register_mean_0.625,4000,0,0.7091850581397441,,,0.016678989,,,0.6250532013189329,,,,,,0.97296109437751,,,,,,,,,CRC-Conventional,uni2
register_mean_0.875,4000,0,0.740685808863738,,,0.023662627,,,0.6833939283563156,,,,,,0.9691176706827309,,,,,,,,,CRC-Conventional,uni2
register_mean_1.0,4000,0,0.7502282459929144,,,0.028379142,,,0.6831470715066394,,,,,,0.9702761044176706,,,,,,,,,CRC-Conventional,uni2
final_embedding,4000,50,0.7249760195990723,0.6241551238608077,0.7413105356653876,0.011761844,0.008028754591941833,0.04407226592302323,0.6884877997742793,0.6849599812179146,0.6996011534201907,,,,0.9729419678714859,0.9726348230421686,0.9772015361445783,,,,,,,CRC-Conventional,uni2
patch_mean_0.125,4000,0,0.26443539193454035,,,0.03680432,,,0.41882707542263486,,,,,,0.982662951807229,,,,,,,,,CRC-Conventional,conch
patch_mean_0.375,4000,0,0.31280360012057956,,,0.033988833,,,0.4701774393976387,,,,,,0.9731914658634538,,,,,,,,,CRC-Conventional,conch
patch_mean_0.625,4000,0,0.6588756834960033,,,0.009914279,,,0.61998002394996,,,,,,0.9641214357429719,,,,,,,,,CRC-Conventional,conch
patch_mean_0.875,4000,0,0.7046021001907719,,,0.02534777,,,0.6497159769346894,,,,,,0.970829016064257,,,,,,,,,CRC-Conventional,conch
patch_mean_1.0,4000,0,0.715330565291141,,,0.04578042,,,0.6527058736640248,,,,,,0.9699044176706827,,,,,,,,,CRC-Conventional,conch
cls_0.125,4000,0,0.24400977795917306,,,0.05500543,,,0.4214916239973957,,,,,,0.9864158132530121,,,,,,,,,CRC-Conventional,conch
cls_0.375,4000,0,0.3971332620510276,,,0.018319786,,,0.4509098366129394,,,,,,0.9817088855421687,,,,,,,,,CRC-Conventional,conch
cls_0.625,4000,0,0.6803546438471884,,,0.011416137,,,0.6017876066634109,,,,,,0.9726074297188755,,,,,,,,,CRC-Conventional,conch
cls_0.875,4000,0,0.7195884784485591,,,0.021940708,,,0.6379178617386086,,,,,,0.9712793172690763,,,,,,,,,CRC-Conventional,conch
cls_1.0,4000,0,0.7259395479926928,,,0.020822585,,,0.6451298763379277,,,,,,0.9646582831325301,,,,,,,,,CRC-Conventional,conch
final_embedding,4000,50,0.7028010190323626,0.4997568738037103,0.7323357918752759,0.07074708,0.06262248158454894,0.07435902059078216,0.6212435450651654,0.6182385790916481,0.6332328152809754,,,,0.9751004016064257,0.9750086219879518,0.9793106613955823,,,,,,,CRC-Conventional,conch
patch_mean_0.125,4000,0,0.0872008950705703,,,0.03306061,,,0.39195223075694746,,,,,,0.9859417670682731,,,,,,,,,CRC-Conventional,gigapath
patch_mean_0.375,4000,0,0.2574975002927166,,,0.042354405,,,0.4716304513519374,,,,,,0.975408232931727,,,,,,,,,CRC-Conventional,gigapath
patch_mean_0.625,4000,0,0.6202827878158063,,,0.014552236,,,0.6180766130386395,,,,,,0.9651616967871486,,,,,,,,,CRC-Conventional,gigapath
patch_mean_0.875,4000,0,0.7234267950648264,,,0.020872772,,,0.6524658771576992,,,,,,0.958248343373494,,,,,,,,,CRC-Conventional,gigapath
patch_mean_1.0,4000,0,0.7194369050550383,,,0.035385787,,,0.6526164851114472,,,,,,0.9667804718875502,,,,,,,,,CRC-Conventional,gigapath
cls_0.125,4000,0,0.23940024446130231,,,0.034612775,,,0.39739187774394086,,,,,,0.9858040662650602,,,,,,,,,CRC-Conventional,gigapath
cls_0.375,4000,0,0.39106674186765844,,,0.0040266514,,,0.4882166058502673,,,,,,0.9792113955823293,,,,,,,,,CRC-Conventional,gigapath
cls_0.625,4000,0,0.612212192483914,,,0.013483524,,,0.5982687231841073,,,,,,0.9796786646586345,,,,,,,,,CRC-Conventional,gigapath
