embedding_type,n_samples,bootstrap_iters,tau,spectral_gap,neighborhood_purity,silhouette,trustworthiness,id_raw,id_diff,progression,model,tau_ci_lower,tau_ci_upper,spectral_gap_ci_lower,spectral_gap_ci_upper,neighborhood_purity_ci_lower,neighborhood_purity_ci_upper,silhouette_ci_lower,silhouette_ci_upper,trustworthiness_ci_lower,trustworthiness_ci_upper,id_raw_ci_lower,id_raw_ci_upper,id_diff_ci_lower,id_diff_ci_upper
patch_mean_0.875,4000,0,0.6620777797008396,0.021513045,0.619823168744279,0.023706633784529793,0.9772793674698795,13.629637059892941,4.3305993201714434,CRC-Conventional,virchow2,,,,,,,,,,,,,,
patch_mean_1.0,4000,0,0.3508395718462975,0.04417205,0.5242858746984664,-0.001196031019990937,0.9890340361445783,11.980683587928711,4.266156571012707,CRC-Conventional,virchow2,,,,,,,,,,,,,,
cls_0.125,4000,0,0.35913337922852895,0.020895422,0.444482474389927,-0.022578641181832993,0.9880083333333334,14.913582679456244,4.0635915980142885,CRC-Conventional,virchow2,,,,,,,,,,,,,,
cls_0.375,4000,0,0.4403822036689575,0.017436922,0.49300053456942794,-0.007584200467061987,0.9840636044176707,10.78142785812801,4.794610000774675,CRC-Conventional,virchow2,,,,,,,,,,,,,,
cls_0.625,4000,0,0.6843065231053074,0.023413002,0.6277239022873243,0.05307119863410559,0.9755941767068274,12.909633890519926,4.586235440495731,CRC-Conventional,virchow2,,,,,,,,,,,,,,
cls_0.875,4000,0,0.7360014229214409,0.012212753,0.6834845069364859,0.08304902921380297,0.9704875502008032,13.935409999813519,4.11802824846465,CRC-Conventional,virchow2,,,,,,,,,,,,,,
cls_1.0,4000,0,0.7333331537730237,0.018586278,0.6802700363388585,0.08773622670115894,0.9777763554216867,13.824885105344865,4.291331882589644,CRC-Conventional,virchow2,,,,,,,,,,,,,,
register_mean_0.125,4000,0,0.31875325655942555,0.039760947,0.41994656895279076,-0.018465897826695898,0.9871911646586345,19.17343586002145,3.9663284530181313,CRC-Conventional,virchow2,,,,,,,,,,,,,,
register_mean_0.375,4000,0,0.3922010883445598,0.0365088,0.4689054206252875,0.0027995733463377004,0.9789232931726908,14.7966186302618,4.791756357333573,CRC-Conventional,virchow2,,,,,,,,,,,,,,
register_mean_0.625,4000,0,0.7068140613851673,0.015832782,0.636793441620024,0.07136459755960686,0.975904267068273,15.25492307104525,4.547348134592679,CRC-Conventional,virchow2,,,,,,,,,,,,,,
register_mean_0.875,4000,0,0.4947101498639663,0.016842663,0.6131540392641913,0.02722227679919518,0.9761878514056225,13.544078741543109,4.111826969001894,CRC-Conventional,virchow2,,,,,,,,,,,,,,
register_mean_1.0,4000,0,0.3666739390227685,0.01768881,0.5277273232449495,-0.010485295351350335,0.9878508534136546,11.300199380370913,3.7944231200851326,CRC-Conventional,virchow2,,,,,,,,,,,,,,
final_embedding,4000,100,0.7328357043310497,0.014347315,0.6808822859341693,0.0912334648601309,0.9776934236947791,14.321394014808973,4.266634410939635,CRC-Conventional,virchow2,0.7186207716897736,0.7430570852413049,0.0077699929475784305,0.03755640238523483,0.6753235770679896,0.693232876677459,0.08556977798136921,0.10186706912632772,0.9770955685240964,0.9819277886546185,12.45525704254774,14.306152628523238,0.64377648531197,0.7424070156937683
patch_mean_0.125,4000,0,0.18873590482981634,0.02671504,0.3890668047847228,-0.0512280010264634,0.9856982429718876,11.754505649419281,3.7936642799633153,CRC-Conventional,uni2,,,,,,,,,,,,,,
patch_mean_0.375,4000,0,0.31621026799694674,0.04402381,0.4518483087776901,-0.008044117867186003,0.973958483935743,14.110344541414019,4.833276277004518,CRC-Conventional,uni2,,,,,,,,,,,,,,
patch_mean_0.625,4000,0,0.7020209777838875,0.012128413,0.6427076337058376,0.06903932491274511,0.9662558734939759,16.487711587640334,4.522511129406646,CRC-Conventional,uni2,,,,,,,,,,,,,,
patch_mean_0.875,4000,0,0.7311629114890318,0.040406287,0.6634798893608491,0.09993900184017086,0.9716763554216867,16.039774589351282,4.256282380400275,CRC-Conventional,uni2,,,,,,,,,,,,,,
patch_mean_1.0,4000,0,0.7084471122467172,0.04293883,0.6623438451973293,0.10956650465082654,0.9729319277108434,16.16684683058849,4.342297016473522,CRC-Conventional,uni2,,,,,,,,,,,,,,
cls_0.125,4000,0,0.1504202902887404,0.022383094,0.32820889482769877,-0.06566072960590379,0.9867115963855422,10.753021219240228,3.286746424307076,CRC-Conventional,uni2,,,,,,,,,,,,,,
cls_0.375,4000,0,0.38326472961071467,0.02496928,0.47856279110308003,-0.016163232414189117,0.9800743473895582,14.777824113887474,4.557545855778187,CRC-Conventional,uni2,,,,,,,,,,,,,,
cls_0.625,4000,0,0.5676337328845371,0.021832526,0.5962615833550242,0.025079099174136147,0.9757475903614458,15.004372363032221,4.587442354483963,CRC-Conventional,uni2,,,,,,,,,,,,,,
cls_0.875,4000,0,0.712323393695035,0.010842204,0.692887660766853,0.07534405516210983,0.9682669176706827,15.688208839703824,4.241645795404476,CRC-Conventional,uni2,,,,,,,,,,,,,,
cls_1.0,4000,0,0.7373494617303524,0.022901118,0.6892996363739,0.07955889396436555,0.9612672690763052,20.421913847221887,4.464981166372278,CRC-Conventional,uni2,,,,,,,,,,,,,,
register_mean_0.125,4000,0,0.15660332049586598,0.021044612,0.32738425324877435,-0.079297641082561,0.9868243975903614,11.038739732350837,3.5711828041409266,CRC-Conventional,uni2,,,,,,,,,,,,,,
register_mean_0.375,4000,0,0.36288431547352323,0.029346347,0.4426983756903312,-0.015936599519966264,0.9789796184738956,19.062336297899353,4.4401068942701505,CRC-Conventional,uni2,,,,,,,,,,,,,,
register_mean_0.625,4000,0,0.7091850581397441,0.016678989,0.6250532013189329,0.045841722750623794,0.9752279116465864,16.642017199767835,4.8918713137368774,CRC-Conventional,uni2,,,,,,,,,,,,,,
register_mean_0.875,4000,0,0.740685808863738,0.023662627,0.6833939283563156,0.09098463104359127,0.969147891566265,17.322468296805557,4.201471485811966,CRC-Conventional,uni2,,,,,,,,,,,,,,
register_mean_1.0,4000,0,0.7502282459929144,0.028379142,0.6831470715066394,0.11021869627814987,0.9686178714859438,17.302903814036572,4.01077213760984,CRC-Conventional,uni2,,,,,,,,,,,,,,
final_embedding,4000,100,0.7249760195990723,0.011761844,0.6884877997742793,0.0689678724511894,0.9714951807228915,18.498548116820228,4.355230348115524,CRC-Conventional,uni2,0.5664683726668069,0.7391152569414603,0.00860021412372589,0.04476008415222168,0.6839408044614232,0.7018699466598132,0.06707435423182298,0.07743983734193918,0.9716294829317269,0.9779603727409639,18.309959716204187,20.45659166887852,0.6665106579913098,0.7760214699062343
patch_mean_0.125,4000,0,0.26443539193454035,0.03680432,0.41882707542263486,-0.03157686535975592,0.9822862951807229,12.896891097989688,4.288308046219228,CRC-Conventional,conch,,,,,,,,,,,,,,
patch_mean_0.375,4000,0,0.31280360012057956,0.033988833,0.4701774393976387,0.017284294111233986,0.9746819779116466,13.104182805912835,4.566392434143601,CRC-Conventional,conch,,,,,,,,,,,,,,
patch_mean_0.625,4000,0,0.6588756834960033,0.009914279,0.61998002394996,0.06293178402711554,0.9640490963855421,18.474336670816477,4.667882249821664,CRC-Conventional,conch,,,,,,,,,,,,,,
patch_mean_0.875,4000,0,0.7046021001907719,0.02534777,0.6497159769346894,0.0813331756818413,0.9712585843373494,20.09811371099786,4.467617300715375,CRC-Conventional,conch,,,,,,,,,,,,,,
patch_mean_1.0,4000,0,0.715330565291141,0.04578042,0.6527058736640248,0.08010980118001906,0.9700880522088353,19.054293086278605,4.87008266933691,CRC-Conventional,conch,,,,,,,,,,,,,,
cls_0.125,4000,0,0.24400977795917306,0.05500543,0.4214916239973957,-0.026236292837401906,0.9849247991967871,12.145026527645923,4.001568032366342,CRC-Conventional,conch,,,,,,,,,,,,,,
cls_0.375,4000,0,0.3971332620510276,0.018319786,0.4509098366129394,-0.016869724232213442,0.9822462851405622,13.092349001177007,4.611026264750182,CRC-Conventional,conch,,,,,,,,,,,,,,
cls_0.625,4000,0,0.6803546438471884,0.011416137,0.6017876066634109,0.044950011836453065,0.9734035642570281,18.536682156746874,4.686922561711596,CRC-Conventional,conch,,,,,,,,,,,,,,
cls_0.875,4000,0,0.7195884784485591,0.021940708,0.6379178617386086,0.05550830656010563,0.9698228413654618,19.05506434983403,4.631259213784216,CRC-Conventional,conch,,,,,,,,,,,,,,
cls_1.0,4000,0,0.7259395479926928,0.020822585,0.6451298763379277,0.050963479857554256,0.9651392570281124,19.67105778506433,4.644300791818444,CRC-Conventional,conch,,,,,,,,,,,,,,
final_embedding,4000,100,0.7028010190323626,0.07074708,0.6212435450651654,0.07787742527796891,0.9751562248995984,17.136948683941313,5.460688529790506,CRC-Conventional,conch,0.5185104664139794,0.7310992681155344,0.06265799552202225,0.07437275648117066,0.6154316073842152,0.6341132256509555,0.06477536655037519,0.08284686028315492,0.9738923067269076,0.9792303263052209,15.876305859785328,17.556434719112005,0.5871419617571718,0.6686108283140285
patch_mean_0.125,4000,0,0.0872008950705703,0.03306061,0.39195223075694746,-0.09210253507236046,0.9858591867469879,14.659642425882609,3.743554848858171,CRC-Conventional,gigapath,,,,,,,,,,,,,,
patch_mean_0.375,4000,0,0.2574975002927166,0.042354405,0.4716304513519374,-0.04302056431820657,0.9751880522088353,13.121072933431227,4.501348679579921,CRC-Conventional,gigapath,,,,,,,,,,,,,,
patch_mean_0.625,4000,0,0.6202827878158063,0.014552236,0.6180766130386395,0.03206318143418082,0.9633627008032128,14.312865333580833,4.658478899638085,CRC-Conventional,gigapath,,,,,,,,,,,,,,
patch_mean_0.875,4000,0,0.7234267950648264,0.020872772,0.6524658771576992,0.05389264597987615,0.9605651104417671,16.668820020723032,4.717957200561114,CRC-Conventional,gigapath,,,,,,,,,,,,,,
