slide_id,patch_id,class_label,pseudotime,pseudotime_norm,total_cells,mean_confidence,cancer_cells,lymphocytes,fibroblasts,plasmocytes,eosinophils,neutrophils,macrophages,smooth_muscle,endothelial,red_blood_cells,epithelial_normal,mitotic_figures,apoptotic_bodies,cancer_cells_prop,lymphocytes_prop,fibroblasts_prop,plasmocytes_prop,eosinophils_prop,neutrophils_prop,macrophages_prop,smooth_muscle_prop,endothelial_prop,red_blood_cells_prop,epithelial_normal_prop,mitotic_figures_prop,apoptotic_bodies_prop
0049,0689149,Adenoma low grade,0.0367610789835453,0.0367610789835453,48,0.8925273103367855,8,7,6,4,0,0,0,0,0,0,23,0,0,0.16666666666666666,0.14583333333333334,0.125,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4791666666666667,0.0,0.0
0049,0859300,Adenoma low grade,0.03927972912788391,0.03927972912788391,57,0.8739134438736066,23,2,16,0,0,0,0,0,0,0,16,0,0,0.40350877192982454,0.03508771929824561,0.2807017543859649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2807017543859649,0.0,0.0
0050,0963561,Adenoma low grade,0.038083516061306,0.038083516061306,39,0.9919088709071827,30,1,1,0,0,0,0,0,5,1,0,0,1,0.7692307692307693,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.02564102564102564,0.0,0.0,0.02564102564102564
0056,0123253,Adenoma low grade,0.04876616597175598,0.04876616597175598,52,0.9920021174010694,49,0,1,0,0,0,1,0,1,0,0,0,0,0.9423076923076923,0.0,0.019230769230769232,0.0,0.0,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,0.0,0.0
0056,0160854,Adenoma low grade,0.023503834381699562,0.023503834381699562,22,0.8790355416453618,8,1,2,0,0,0,0,0,0,0,11,0,0,0.36363636363636365,0.045454545454545456,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0056,0209149,Adenoma low grade,0.026127051562070847,0.026127051562070847,28,0.8753638241021375,10,1,3,1,0,0,3,0,0,0,10,0,0,0.35714285714285715,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.35714285714285715,0.0,0.0
0056,0357294,Adenoma low grade,0.0361812561750412,0.0361812561750412,23,0.8444985573142408,7,0,3,0,0,0,2,0,2,1,8,0,0,0.30434782608695654,0.0,0.13043478260869565,0.0,0.0,0.0,0.08695652173913043,0.0,0.08695652173913043,0.043478260869565216,0.34782608695652173,0.0,0.0
0056,0416245,Adenoma low grade,0.0292766522616148,0.0292766522616148,14,0.9025179859937315,0,0,0,0,0,0,0,0,1,0,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.9285714285714286,0.0,0.0
0056,0464888,Adenoma low grade,0.042311958968639374,0.042311958968639374,27,0.9197391782849803,15,0,2,0,0,0,0,0,7,0,3,0,0,0.5555555555555556,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.25925925925925924,0.0,0.1111111111111111,0.0,0.0
0056,0619878,Adenoma low grade,0.02864968590438366,0.02864968590438366,4,0.8598130698109114,3,0,0,1,0,0,0,0,0,0,0,0,0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
