progression,model,type,perm_id,order_str,tau
SCC,musk,permuted,6,Actinic keratosis -> Epidermis -> Carcinoma in situ -> Squamous cell carcinoma,0.41524556079869673
SCC,musk,permuted,7,Actinic keratosis -> Epidermis -> Squamous cell carcinoma -> Carcinoma in situ,0.39258519411172693
SCC,musk,permuted,8,Actinic keratosis -> Carcinoma in situ -> Epidermis -> Squamous cell carcinoma,0.13622810316073808
SCC,musk,permuted,9,Actinic keratosis -> Carcinoma in situ -> Squamous cell carcinoma -> Epidermis,-0.14966068165016266
SCC,musk,permuted,10,Actinic keratosis -> Squamous cell carcinoma -> Epidermis -> Carcinoma in situ,0.10669640930082615
SCC,musk,permuted,11,Actinic keratosis -> Squamous cell carcinoma -> Carcinoma in situ -> Epidermis,-0.17232104833713244
SCC,musk,permuted,12,Carcinoma in situ -> Epidermis -> Actinic keratosis -> Squamous cell carcinoma,0.14039651583817248
SCC,musk,permuted,13,Carcinoma in situ -> Epidermis -> Squamous cell carcinoma -> Actinic keratosis,-0.10669640930082615
SCC,musk,permuted,14,Carcinoma in situ -> Actinic keratosis -> Epidermis -> Squamous cell carcinoma,-0.08573481946619214
SCC,musk,permuted,15,Carcinoma in situ -> Actinic keratosis -> Squamous cell carcinoma -> Epidermis,-0.37162360427709284
SCC,musk,permuted,16,Carcinoma in situ -> Squamous cell carcinoma -> Epidermis -> Actinic keratosis,-0.39258519411172693
SCC,musk,permuted,17,Carcinoma in situ -> Squamous cell carcinoma -> Actinic keratosis -> Epidermis,-0.6187165294160916
SCC,musk,permuted,18,Squamous cell carcinoma -> Epidermis -> Actinic keratosis -> Carcinoma in situ,0.08573481946619214
SCC,musk,permuted,19,Squamous cell carcinoma -> Epidermis -> Carcinoma in situ -> Actinic keratosis,-0.13622810316073808
SCC,musk,permuted,20,Squamous cell carcinoma -> Actinic keratosis -> Epidermis -> Carcinoma in situ,-0.14039651583817248
SCC,musk,permuted,21,Squamous cell carcinoma -> Actinic keratosis -> Carcinoma in situ -> Epidermis,-0.4194139734761311
SCC,musk,permuted,22,Squamous cell carcinoma -> Carcinoma in situ -> Epidermis -> Actinic keratosis,-0.41524556079869673
SCC,musk,permuted,23,Squamous cell carcinoma -> Carcinoma in situ -> Actinic keratosis -> Epidermis,-0.6413768961030613
SCC,dinov2,canonical,0,Epidermis -> Actinic keratosis -> Carcinoma in situ -> Squamous cell carcinoma,0.47623089914836403
SCC,dinov2,permuted,1,Epidermis -> Actinic keratosis -> Squamous cell carcinoma -> Carcinoma in situ,0.5044039179798783
SCC,dinov2,permuted,2,Epidermis -> Carcinoma in situ -> Actinic keratosis -> Squamous cell carcinoma,0.2817428916090752
SCC,dinov2,permuted,3,Epidermis -> Carcinoma in situ -> Squamous cell carcinoma -> Actinic keratosis,0.07668516609493707
SCC,dinov2,permuted,4,Epidermis -> Squamous cell carcinoma -> Actinic keratosis -> Carcinoma in situ,0.2993461924657402
SCC,dinov2,permuted,5,Epidermis -> Squamous cell carcinoma -> Carcinoma in situ -> Actinic keratosis,0.10485818492645126
