embedding_type,n_samples,bootstrap_iters,tau,spectral_gap,neighborhood_purity,silhouette,trustworthiness,id_raw,id_diff,progression,model,tau_ci_lower,tau_ci_upper,spectral_gap_ci_lower,spectral_gap_ci_upper,neighborhood_purity_ci_lower,neighborhood_purity_ci_upper,silhouette_ci_lower,silhouette_ci_upper,trustworthiness_ci_lower,trustworthiness_ci_upper,id_raw_ci_lower,id_raw_ci_upper,id_diff_ci_lower,id_diff_ci_upper
register_mean_0.125,4000,0,0.14132934180858323,0.01598227,0.4476170250506782,0.011932421610502097,0.9844448293172691,16.921341185069295,4.2003412621587595,SCC,virchow2,,,,,,,,,,,,,,
register_mean_0.375,4000,0,0.1544420475699572,0.03285128,0.511997246765122,0.026675746804191276,0.9799621987951808,13.389453389041154,5.214214290463764,SCC,virchow2,,,,,,,,,,,,,,
register_mean_0.625,4000,0,0.6168289739835651,0.069571495,0.6614519236426436,0.07499243833005616,0.9748964859437751,12.951615139647284,4.880274144631688,SCC,virchow2,,,,,,,,,,,,,,
register_mean_0.875,4000,0,0.5191247259586166,0.01180774,0.6417824489092065,0.07250681902440817,0.9851739959839357,11.901231287564661,4.105942101105353,SCC,virchow2,,,,,,,,,,,,,,
register_mean_1.0,4000,0,0.3818526430055525,0.017699838,0.5868645031042068,0.0321400847376617,0.9877516064257028,10.498819347692319,4.0339625040615426,SCC,virchow2,,,,,,,,,,,,,,
final_embedding,4000,100,0.7171961625482935,0.054039836,0.7352806281809675,0.13678077256976853,0.9823515562248996,11.853760126080251,4.373545539702003,SCC,virchow2,0.7032429342465566,0.7300396600646927,0.046358489990234376,0.05559467524290083,0.7294246140080703,0.7494717931868758,0.12687796255167672,0.14372760817298036,0.983536532379518,0.9861095230923694,11.39054840505948,13.018246657722058,0.6054565688297927,0.6897293776211106
patch_mean_0.125,4000,0,0.09509296672696203,0.06551939,0.40705958360928646,-0.03956694041484171,0.9885246987951807,10.357336057031604,4.162333033349571,SCC,uni2,,,,,,,,,,,,,,
patch_mean_0.375,4000,0,0.2177304160573785,0.014138162,0.49830329198341766,0.03635950514252893,0.9848482931726907,12.99614939147926,5.351561490781597,SCC,uni2,,,,,,,,,,,,,,
patch_mean_0.625,4000,0,0.5954538039817564,0.07530314,0.6511831589046233,0.07974607534738166,0.9698132530120482,15.043001500472377,4.418587967951622,SCC,uni2,,,,,,,,,,,,,,
patch_mean_0.875,4000,0,0.668324954984458,0.037662506,0.6871032942896794,0.11518372692020525,0.9810111947791165,14.666574901985387,3.940657551032121,SCC,uni2,,,,,,,,,,,,,,
